NTC
Client,Branch,Fleet,Vehicle Unit Number,Year,Make,Model,Vin#,License Plate #,License State,Purchase Price,In Service Date,Vehicle Type,Engine Manufacturer,Engine Serial #,Tire Size
Alter Trading,Des Moines,Des Moines Light Duty,7796,2010,Chevrolet,Silverado 1500,1GCPCPEX5AZ228433,542SEJ,IA,,,Light Duty,,,
Alter Trading,Des Moines,Des Moines Light Duty,8335,1988,Ford,F-250,2FTHF25H6JCA98490,653ZXF,IA,,,Light Duty,,,
Alter Trading,Des Moines,Des Moines Power Units,2134,2005,Volvo,VN,4V4NC9GH95N375297,SD0608,IA,,,Tractor,,,
Alter Trading,Des Moines,Des Moines Power Units,2317,2004,Mack,CHN613,1M1AE06Y94N016161,SB5981,IA,,,Tractor,,,
Alter Trading,Des Moines,Des Moines Power Units,7812,2011,Mack,GU713,1M2AX04C0BM010099,DE7794,IA,,,Tractor,,,
Alter Trading,Des Moines,Des Moines Power Units,8063,2013,Mack,,1M1AW09Y6DM025608,SG5365,IA,,,Tractor,,,
Alter Trading,Des Moines,Des Moines Power Units,8064,2013,Mack,,1M1AW09Y8DM025609,SG5366,IA,,,Tractor,,,
Alter Trading,Des Moines,Des Moines Power Units,8066,2013,Mack,GU713,1M2AX04C2DM014562,SG5367,IA,,,Tractor,,,
Alter Trading,Des Moines,Des Moines Power Units,10016,2013,Mack,,1M1AW09Y6DM033207,SG9498,IA,,,Tractor,,,
Alter Trading,Des Moines,Des Moines Power Units,10017,2013,Mack,GU713,1M2AX04CXDM017953,SG9672,IA,,,Tractor,,,
Alter Trading,Des Moines,Des Moines Power Units,10045,2006,Freightliner,M2,1FVACWDC86HV64738,SG9918,IA,,,Tractor,,,
Alter Trading,Des Moines,Des Moines Power Units,11934,1995,Mack,,1M2AM08C7SM002925,DE5573,IA,,,Tractor,,,
Alter Trading,Des Moines,Des Moines Power Units,11937,1997,Mack,,1M2AD62Y5VW005466,DX8714,IA,,,Tractor,,,
Alter Trading,Des Moines,Des Moines Power Units,14525,2019,Mack,,1M1ANAGY4KM005559,DZ8976,IA,,,Tractor,,,
Alter Trading,Des Moines,Des Moines Power Units,14576,2019,Mack,,1M2GR4GC3KM010377,FA4242,IA,,,Tractor,,,
Alter Trading,Des Moines,Des Moines Power Units,14587,2019,Mack,,1M2GR4GC2KM010368,FA4248,IA,,,Tractor,,,
