Helaman Holding Company
Client,Branch,Fleet,Vehicle Unit Number,Year,Make,Model,Vin#,License Plate #,License State,Purchase Price,In Service Date,Vehicle Type,Engine Manufacturer,Engine Serial #,Tire Size
AZ Sookster,Glendale Branch,Van Fleet,C1,,Chevy,3500 Express Stabilitrak,1GAHG39U551212618,WCGVP21,AZ,,,Light Duty,,,LT 245/75 R16
AZ Sookster,Glendale Branch,Van Fleet,C2,2008,Ford,E350 Advance Trac,1FBNE31L28DA43927,WCFJZ07,AZ,,,Light Duty,,,LT 245/75 R16
AZ Sookster,Glendale Branch,Van Fleet,C3,2012,Ford,E350 XLT Super Duty,1FBSS3BL3CDA04444,WCLAC89,AZ,,,Light Duty,,,LT 255/65 R70
AZ Sookster,Glendale Branch,Van Fleet,C5,2010,Ford,E350 XLT Super Duty,1FBSS3BL3ADA23508,WCFJP12,AZ,,,Light Duty,,,LT 245/75 R16
AZ Sookster,Glendale Branch,Van Fleet,C8,2019,Ford,Transit,1FBZX2ZMXKKA05853,YCA19G,AZ,,,Light Duty,,,LT 235/65 R16C
AZ Sookster,Glendale Branch,Van Fleet,C9,2014,Ford,E350 Super Duty,1FDEE3FL2DDB36747,WCMDF28,AZ,,,Light Duty,,,LT 225/75 R16
AZ Sookster,Glendale Branch,Van Fleet,C10,2006,Chevy,Stabilitrak Express,1GAHG39U261134865,WCGMC45,AZ,,,Light Duty,,,LT 245/75 R16
AZ Sookster,Glendale Branch,Van Fleet,C11,2006,Ford,E350 Super Duty,1FTSS34L66DA50458,CH35174,AZ,,,Light Duty,,,LT 245/75 R16
AZ Sookster,Glendale Branch,Van Fleet,C12,2013,FORD,E350-ECOLINE,1FDEE3GL3DDA85582,WCMDF27,AZ,,,Light Duty,,,LT 225/75 R16
AZ Sookster,Glendale Branch,Van Fleet,C15,2008,Supreme,E350 Super Duty,1FD3E35L88DA59767,WCHFV36,AZ,,,Light Duty,,,LT 225/75 R16
AZ Sookster,Glendale Branch,Van Fleet,C17,2012,Ford,E350 Econoline,1FBSS3BL6CDA20282,LAZ94,AZ,,,Light Duty,,,LT 245/75 R16
AZ Sookster,Glendale Branch,Van Fleet,C18,2011,Ford,E250 Econoline,1FTNS2EW8BDA02163,WCKTF57,AZ,,,Light Duty,,,LT 245/75 R16
AZ Sookster,Glendale Branch,Van Fleet,C19,2013,Ford,E-150 XL,1FDNE1BW7DDB20015,WCLAC90,AZ,,,Light Duty,,,LT 245/75 R16
AZ Sookster,Glendale Branch,Van Fleet,C20,2010,Ford,E350 Super Duty,1FBNE3BL8ADA97673,WCMDF26,AZ,,,Light Duty,,,LT 245/75 R16
AZ Sookster,Glendale Branch,Van Fleet,C24,2008,Chevy,EXPRESS 3500,1GAHG39KX81206106,WCJGE46,AZ,,,Light Duty,,,LT 245/75 R16
AZ Sookster,Glendale Branch,Van Fleet,C26,2009,Supreme,E350,1FDEE35L89DA30005,WCJPD67,AZ,,,Light Duty,,,LT 225/75 R16
AZ Sookster,Glendale Branch,Van Fleet,C27,2012,Ford,E150 XLT,1FMNE1BW6CDB23647,WCKTF54,AZ,,,Light Duty,,,LT 245/75 R16
AZ Sookster,Glendale Branch,Van Fleet,C28,2017,Ford,Transit,1FBAX2CMXHKB48316,YSA88G,AZ,,,Light Duty,,,LT 235/65 R16C
AZ Sookster,Glendale Branch,Van Fleet,C29,2016,Ford,Transit,1FBZX2XM5GKB45920,Y7A48G,AZ,,,Light Duty,,,LT 235/65 R16C
AZ Sookster,Glendale Branch,Van Fleet,C30,2016,Ford,Transit,1FBZX2YG1GKA07316,YCA68G,AZ,,,Light Duty,,,LT 235/65 R16C
AZ Sookster,Glendale Branch,Van Fleet,C31,2019,Ford,Transit,1FBZX2ZM2KKA36563,Y2A38G,AZ,,,Light Duty,,,LT 235/65 R16C
