NTC
Client,Branch,Fleet,Vehicle Unit Number,Year,Make,Model,Vin#,License Plate #,License State,Purchase Price,In Service Date,Vehicle Type,Engine Manufacturer,Engine Serial #,Tire Size
Brady Industries,Albuquerque ,Albuquerque Power Units,818852,2005,Freightliner,M2,1FVACWCS05DV21168,CD73612,AZ,,,Straight Truck,,,
Brady Industries,Albuquerque ,Albuquerque Power Units,4000,2011,Peterbilt,337,2NP2HM6X6BM128352,818RCL,AZ,,,Straight Truck,,,
Brady Industries,Baltimore,Baltimore Light Duty Units,Tech4,2018,Nissan,Frontier,1N6ADOCW9JN749888,,MD,,,Light Duty,,,
Brady Industries,Baltimore,Baltimore Light Duty Units,Tech1,2017,Nissan,NV200,3N6CMOKN1HK714909,,MD,,,Light Duty,,,
Brady Industries,Baltimore,Baltimore Light Duty Units,Tech2,2017,Nissan,NV200,3N6CNOKN7HK720374,,MD,,,Light Duty,,,
Brady Industries,Baltimore,Baltimore Light Duty Units,Tech3,2017,Nissan,NV200,3N6CMOKN7HK707320,,MD,,,Light Duty,,,
Brady Industries,Boise,Boise Light Duty Units,2,2012,Ford,E-250,1FTNE2EW9CDA51056,1A7R150,ID,,,Light Duty,,,
Brady Industries,Boise,Boise Light Duty Units,SV002,,RAM,ProMaster 1500,3C6LRVBG3ME546270,,NV,,,Light Duty,,,
Brady Industries,Boise,Boise Light Duty Units,SV001,,RAM,ProMaster City,ZFBHRFAB3M6T74538,,NV,,,Light Duty,,,
Brady Industries,Boise,Boise Light Duty Units,4,2005,Chevrolet,Silverado 2500,1GBHC24U15E191509,KS5445,ID,,,Light Duty,,,
Brady Industries,Boise,Boise Power Units,83105,2015,Freightliner,M2,3ALACWDT9GDGU4723,KV6244,ID,,,Straight Truck,,,
Brady Industries,Boise,Boise Power Units,83106,2015,Freightliner,M2,3ALACWDT7GDGU4722,KV6242,ID,,,Straight Truck,,,
Brady Industries,Boise,Boise Power Units,83107,2016,Freightliner,M2,3ALACWDT1GDHF7402,KV9135,ID,,,Straight Truck,,,
Brady Industries,Boise,Pocatello Light Duty Units,P2,2019,RAM,ProMaster 2500,3C6TRVDG0KE525671,,ID,,,Light Duty,,,
Brady Industries,Boise,Pocatello Power Units,83102,2015,Freightliner,M2,1FVACWDT2GHGV5122,KV2788,ID,,,Straight Truck,,,
Brady Industries,Denver,Denver Light Duty Units,2501,2019,Chevrolet, Express G2500,1GCWGAFPXK1166457,AFTZ48,CO,,,Light Duty,,,
Brady Industries,Denver,Denver Light Duty Units,2502,2019,Chevrolet, Express G2500,1GCWGAFP6K1223530,AFTZ47,CO,,,Light Duty,,,
Brady Industries,Denver,Denver Light Duty Units,D3,2012,Ford,E-350,1FDWE3FS6CDA63246,LSQ243,CO,,,Light Duty,,,
Brady Industries,Denver,Denver Light Duty Units,D1,2008,GMC,Savana,1GDHG31K381130825,470PVC,CO,,,Light Duty,,,
Brady Industries,Denver,Denver Power Units,D2,2005,Hino,268,JHBNE8JT251S10865,200XWN,CO,,,Straight Truck,,,
Brady Industries,Denver,Denver Power Units,D4,2012,Hino,268,5PVNJ8JT9C4S53471,BMR079,CO,,,Straight Truck,,,
