NTC
Client,Branch,Fleet,Vehicle Unit Number,Year,Make,Model,Vin#,License Plate #,License State,Purchase Price,In Service Date,Vehicle Type,Engine Manufacturer,Engine Serial #,Tire Size
Honeyville Grain,Rancho Cucamonga,Rancho Power Units,584,2015,Peterbilt,579,1XPBDP9X2FD275584,Z037825,CA,,,Tractor,,,
Honeyville Grain,Rancho Cucamonga,Rancho Power Units,717,2014,Peterbilt,579,1XPBDP9X0ED247717,Z033360,CA,,,Tractor,,,
Honeyville Grain,Rancho Cucamonga,Rancho Power Units,718,2014,Peterbilt,579,1XPBDP9X2ED247718,Z033353,CA,,,Tractor,,,
Honeyville Grain,Rancho Cucamonga,Rancho Power Units,719,2014,Peterbilt,579,1XPBDP9X4ED247719,Z033355,CA,,,Tractor,,,
Honeyville Grain,Rancho Cucamonga,Rancho Power Units,720,2014,Peterbilt,579,1XPBDP9X0ED247720,Z033352,CA,,,Tractor,,,
Honeyville Grain,Rancho Cucamonga,Rancho Power Units,721,2014,Peterbilt,579,1XPBDP9X2ED247721,Z033354,CA,,,Tractor,,,
Honeyville Grain,Rancho Cucamonga,Rancho Power Units,722,2014,Peterbilt,579,1XPBDP9X4ED247722,Z033356,CA,,,Tractor,,,
Honeyville Grain,Rancho Cucamonga,Rancho Power Units,723,2014,Peterbilt,579,1XPBDP9X6ED247723,Z033357,CA,,,Tractor,,,
Honeyville Grain,Rancho Cucamonga,Rancho Power Units,724,2014,Peterbilt,579,1XPBDP9X8ED247724,Z033358,CA,,,Tractor,,,
Honeyville Grain,Rancho Cucamonga,Rancho Power Units,725,2014,Peterbilt,579,1XPBDP9XXED247725,Z033359,CA,,,Tractor,,,
Honeyville Grain,Rancho Cucamonga,Rancho Power Units,726,2015,Peterbilt,579,1XPBDP9XXFD247726,,CA,,,Tractor,,,
Honeyville Grain,Honeyville,Honeyville Power Units,899,2015,Peterbilt,579,1XPBDP9X8FD247899,Z034750,UT,,,Tractor,,,
Honeyville Grain,Honeyville,Honeyville Power Units,900,2015,Peterbilt,579,1XPBDP9X0FD247900,,UT,,,Tractor,,,
