Hill & Marks,,,,,,,,,,,,,,,
Client,Branch,Fleet,Vehicle Unit Number,Year,Make,Model,Vin#,License Plate #,License State,Purchase Price,In Service Date,Vehicle Type,Engine Manufacturer,Engine Serial #,Tire Size
Hill & Marks,Penske,P Straight Trucks,100,2016,Kenworth,T370,2NKHHM7XOGM133262,55576PC,,,,Straight Truck,PACCAR,,11R22.5
Hill & Marks,Penske,P Straight Trucks,101,2016,Kenworth,T370,2NKHHM7X2GM033263,55577PC,,,,Straight Truck,PACCAR,,11R22.5
Hill & Marks,Penske,P Straight Trucks,102,2018,Kenworth,T370,2NKHHM7X9JM176070,81806-PC,,,,Straight Truck,PACCAR,,11R22.5
Hill & Marks,Penske,P Straight Trucks,103,2018,Kenworth,T370,2NKHHM7XOJM176068,57723PC,,,,Straight Truck,PACCAR,,11R22.5
Hill & Marks,Penske,P Straight Trucks,104,2018,Kenworth,T370,2NKHHM7X2JM176069,61423PC,,,,Straight Truck,PACCAR,,11R22.5
Hill & Marks,Penske,P Straight Trucks,105,2018,Kenworth,T370,2NKHHM7X9JM176067,20822PC,,,,Straight Truck,PACCAR,,11R22.5
Hill & Marks,Penske,P Straight Trucks,106,2019,Kenworth,T370,2NKHHM7X2KM301377,74107PC,,,,Straight Truck,PACCAR,,11R22.5
Hill & Marks,Penske,P Straight Trucks,107,2019,Kenworth,T370,2NKHHM7X4KM301378,74108PC,,,,Straight Truck,PACCAR,,11R22.5
Hill & Marks,Penske,P Straight Trucks,108,2019,Kenworth,T370,2NKHHM7X6KM301379,74106PC,,,,Straight Truck,PACCAR,,11R22.5
Hill & Marks,Penske,P Straight Trucks,109,2019,Kenworth,T370,2NKHHM7X4KM301380,74109PC,,,,Straight Truck,PACCAR,,11R22.5
Hill & Marks,Penske,P Straight Trucks,110,2019,Kenworth,T370,2NKHHM7X4KM301381,74110PC,,,,Straight Truck,PACCAR,,11R22.5
Hill & Marks,Penske,P Tractors,204,2017,Freightliner,X12564ST,1FUBGADVOHLHJ3388,34955PC,,,,Tractor,Detroit,,295/75R22.5
Hill & Marks,Penske,P Tractors,205,2017,Freightliner,X12564ST,1FUBGADVOHLHJ3389,87792PA,,,,Tractor,Detroit,,295/75R22.5
Hill & Marks,Penske,P Tractors,206,2017,Freightliner,X12564ST,1FUBGADVOHLHJ3387,27757PC,,,,Tractor,Detroit,,295/75R22.5
Hill & Marks,Penske,P Tractors,207,2020,International,LT625,3HSDYAPN3LN899649,81301PC,,,,Tractor,Cummins,,295/75R22.5
Hill & Marks,Penske,P Tractors,208,2020,International,LT625,3HSDYAPNXLN899650,81302PC,,,,Tractor,Cummins,,295/75R22.5
Hill & Marks,Penske,P Tractors,209,2020,International,LT625,3HSKYAPN1LN899651,82494PC,,,,Tractor,Cummins,,295/75R22.5
Hill & Marks,Penske,P Tractors,210,2020,International,LT625,3HSKYAPN3LN899652,82488PC,,,,Tractor,Cummins,,295/75R22.5
Hill & Marks,Penske,P Tractors,211,2020,International,LT625,3HSDYAPN5LN899653,82490PC,,,,Tractor,Cummins,,295/75R22.5
Hill & Marks,Penske,P Tractors,212,2020,International,LT625,3HSDYAPN7LN899654,3254214,,,,Tractor,Cummins,,295/75R22.5
Hill & Marks,Penske,P Tractors,213,2020,International,LT625,3HSDYAPN9LN899655,3254215,,,,Tractor,Cummins,,295/75R22.5
Hill & Marks,Penske,P Tractors,214,2020,International,LT625,3HSDYAPN0LN899656,3254120,,,,Tractor,Cummins,,295/75R22.5
Hill & Marks,Ryder,R Tractors,200,2017,International,LT625,3HCDGAPNXHL691673,2639798ID,,,,Tractor,,,295/75R22.5
Hill & Marks,Ryder,R Tractors,201,2017,International,LT625,3HCDGAPNXHL691674,2639799ID,,,,Tractor,,,295/75R22.5
Hill & Marks,Ryder,R Tractors,202,2017,International,LT625,3HCDGAPNXHL691675,2639800ID,,,,Tractor,,,295/75R22.5
Hill & Marks,Ryder,R Tractors,203,2017,International,LT625,3HCDGAPNXHL691676,2639801ID,,,,Tractor,,,295/75R22.5
