NTC
Client,Branch,Fleet,Vehicle Unit Number,Year,Make,Model,Vin#,License Plate #,License State,Purchase Price,In Service Date,Vehicle Type,Engine Manufacturer,Engine Serial #,Tire Size
Kirk Mobile Repair,Ogden,Ogden Light Duty Units,1,2015,GMC,Sierra 3500,1GB3KYCG9FZ138420,,UT,,,Light Duty,,,
Kirk Mobile Repair,Ogden,Ogden Light Duty Units,2,2016,RAM,5500,3C7WRNBL1GG121259,,UT,,,Light Duty,,,
Kirk Mobile Repair,Las Vegas,Las Vegas Light Duty Units,3,2018,Chevrolet,Silverado 2500,1GC2KUEG2JZ136109,,UT,,,Light Duty,,,
Kirk Mobile Repair,Ogden,Ogden Light Duty Units,4,2015,Chevrolet,Silverado 2500,1GC2KVEG3FZ507274,,UT,,,Light Duty,,,
Kirk Mobile Repair,Ogden,Ogden Light Duty Units,5,2017,RAM,5500,3C7WRNBL4JG231228,,UT,,,Light Duty,,,
Kirk Mobile Repair,Ogden,Ogden Light Duty Units,6,2015,Chevrolet,Silverado 3500,1GB5KYC85F2551355,,UT,,,Light Duty,,,
Kirk Mobile Repair,Ogden,Ogden Light Duty Units,10,2016,Chevrolet,Silverado 2500,1GC1KUEG8GF141207,,UT,,,Light Duty,,,
Kirk Mobile Repair,Ogden,Ogden Light Duty Units,11,2015,Chevrolet,Silverado 3500,1GB4KZCG4BF131686,,UT,,,Light Duty,,,
Kirk Mobile Repair,Ogden,Ogden Light Duty Units,13,2011,Chevrolet,Silverado 3500,1GB4KZCL3BF189799,,UT,,,Light Duty,,,
Kirk Mobile Repair,Ogden,Ogden Light Duty Units,14,2013,Chevrolet,Silverado 3500,1GC4K0C8XEF116758,,UT,,,Light Duty,,,
Kirk Mobile Repair,Ogden,Ogden Light Duty Units,15,2014,Ford,F-550,1FDUF5GY6EEB83144,,UT,,,Light Duty,,,
Kirk Mobile Repair,Ogden,Ogden Light Duty Units,16,2014,Chevrolet,Silverado 3500,1GC4K0C81EF192837,,UT,,,Light Duty,,,
Kirk Mobile Repair,Ogden,Ogden Light Duty Units,17,2014,RAM,5500,3C7WRMBJ8E6244918,,UT,,,Light Duty,,,
Kirk Mobile Repair,Ogden,Ogden Power Units,18,2016,Peterbilt,348,1NPTH77XXGD365041,,UT,,,Tractor,,,
Kirk Mobile Repair,Ogden,Ogden Light Duty Units,19,2014,Chevrolet,Silverado 3500,1GB4KYC83GF193431,,UT,,,Light Duty,,,
Kirk Mobile Repair,Ogden,Ogden Light Duty Units,20,2016,Chevrolet,Silverado 3500,1GC4KZC84GF269563,,UT,,,Light Duty,,,
Kirk Mobile Repair,Ogden,Ogden Light Duty Units,21,2017,RAM,5500,3C7WRNBLXHG662425,,UT,,,Light Duty,,,
Kirk Mobile Repair,Ogden,Ogden Light Duty Units,23,2019,Chevrolet,Silverado 2500,2GC2KREG0K1152137,,UT,,,Light Duty,,,
Kirk Mobile Repair,Las Vegas,Las Vegas Light Duty Units,25,2019,Ford,F-550,1FD0X5HT6KEC23264,,UT,,,Light Duty,,,
Kirk Mobile Repair,Ogden,Ogden Light Duty Units,26,2019,Chevrolet,Silverado 2500,2GB2KREG3K1217468,,UT,,,Light Duty,,,
Kirk Mobile Repair,Ogden,Ogden Light Duty Units,27,2020,GMC,Sierra 1500,3GTP9EEL6LG345618,,UT,,,Light Duty,,,
Kirk Mobile Repair,Ogden,Ogden Light Duty Units,28,2021,Ford,F-550,1FD0X5HT5MED98138,,UT,,,Light Duty,,,
Kirk Mobile Repair,Ogden,Ogden Light Duty Units,50,2021,GMC,Sierra 3500,,,UT,,,Light Duty,,,
