NTC
Client,Branch,Fleet,Vehicle Unit Number,Year,Make,Model,Vin#,License Plate #,License State,Purchase Price,In Service Date,Vehicle Type,Engine Manufacturer,Engine Serial #,Tire Size
PDM Steel Service Centers,PDM Las Vegas,Las Vegas Tractors,T640,2006,Kenworth,T-800,1XKDD09X46R130720,47515A,NV,,,Tractor,,,
PDM Steel Service Centers,PDM Las Vegas,Las Vegas Tractors,T655,2006,Kenworth,T-300,2NKMHD6X06M128660,36180A,NV,,,Tractor,,,
PDM Steel Service Centers,PDM Las Vegas,Las Vegas Tractors,T697,2012,Kenworth,T-800,,,NV,,,Tractor,,,
PDM Steel Service Centers,PDM Las Vegas,Las Vegas Tractors,T801,2015,Kenworth,T-800,1XKDD49X3FJ443281,,NV,,,Tractor,,,
PDM Steel Service Centers,PDM Las Vegas,Las Vegas Tractors,T821,2015,Kenworth,T-880,1XKZD49X9GJ499456,,NV,,,Tractor,,,
PDM Steel Service Centers,PDM Las Vegas,Las Vegas Tractors,T829,2017,Kenworth,,1XKZP49X4HJ162377,,NV,,,Tractor,,,
PDM Steel Service Centers,PDM Las Vegas,Las Vegas Tractors,T878,2020,Kenworth,T-800,3WKDD49X4LF411244,,NV,,,Tractor,,,
PDM Steel Service Centers,PDM Las Vegas,Las Vegas Tractors,T894,2021,Kenworth,T-880,1XKZP40X7MJ439630,,NV,,,Tractor,,,
PDM Steel Service Centers,PDM Las Vegas,Las Vegas Trailers,TR633,2004,Transcraft,48’ Flatbed,1TTF4820441074424,46746T,NV,,,Trailer,,,
PDM Steel Service Centers,PDM Las Vegas,Las Vegas Trailers,TR650,1999,Fontaine,48’ Flatbed,13N148200X1586316,49484T,NV,,,Trailer,,,
PDM Steel Service Centers,PDM Las Vegas,Las Vegas Trailers,TR673,2007,Transcraft,45’ Flatbed,1TTF4520572020188,51574T,NV,,,Trailer,,,
PDM Steel Service Centers,PDM Las Vegas,Las Vegas Trailers,TR680,2008,Transcraft,48’ Flatbed,1TTF4820181083992,46171T,NV,,,Trailer,,,
PDM Steel Service Centers,PDM Las Vegas,Las Vegas Trailers,TR715,2013,Benson,,1TTF534A1D3776758,,NV,,,Trailer,,,
PDM Steel Service Centers,PDM Las Vegas,Las Vegas Trailers,TR757,,,,,,NV,,,Trailer,,,
PDM Steel Service Centers,PDM Las Vegas,Las Vegas Trailers,TR762,2014,Transcraft,Flatbed,1TTF534A9E3814450,,NV,,,Trailer,,,
PDM Steel Service Centers,PDM Las Vegas,Las Vegas Trailers,TR808,2014,Great Dane,,1GRDM9627FH726103,,NV,,,Trailer,,,
PDM Steel Service Centers,PDM Las Vegas,Las Vegas Trailers,TR828,2016,Great Dane,,1GRDM9625GH730507,05585PT,NV,,,Trailer,,,
