NTC
Client,Branch,Fleet,Vehicle Unit Number,Year,Make,Model,Vin#,License Plate #,License State,Purchase Price,In Service Date,Vehicle Type,Engine Manufacturer,Engine Serial #,Tire Size
Praxair - Las Vegas,Henderson,Henderson Light Duty Units,0Z684,2015,Chevrolet,Silverado 2500HD,1GC0CUEGXFZ129114,0Z684,NV,,,Light Duty,,,
Praxair - Las Vegas,Henderson,Henderson Power Units,51629,2016,Freightliner,M2,1FVHCYCY9GHHB4444,,NV,,,Tractor,,,
Praxair - Las Vegas,Henderson,Henderson Power Units,51668,2016,Freightliner,M2,1FVHCYCY6GHHF0317,,NV,,,Tractor,,,
Praxair - Las Vegas,Henderson,Henderson Power Units,51934,2019,Freightliner,M2,1FVHCYFE0KHKJ8623,FA4378,NV,,,Tractor,,,
Praxair - Las Vegas,Henderson,Henderson Power Units,61612,206,Freightliner,M2,1FUBCXCY4GHHB1942,,NV,,,Tractor,,,
Praxair - Las Vegas,Henderson,Henderson Power Units,72033,2020,Freightliner,Cascadia,1FUJHTDV3LLME4856,,NV,,,Tractor,,,
Praxair - Las Vegas,Henderson,Henderson Power Units,80906,2013,Freightliner,M2,1FVACXDJ19HAK0397,,NV,,,Tractor,,,
Praxair - Las Vegas,Henderson,Henderson Power Units,91303,2013,Freightliner,,1FVHCYBS6DHFB3156,DB8286,NV,,,Tractor,,,
Praxair - Las Vegas,Henderson,Henderson Power Units,91305,,,,1FVHCYBS8DHFB3157,,NV,,,Tractor,,,
Praxair - Las Vegas,Henderson,Henderson Power Units,91914,2019,Freightliner,M2,1FVHCYFE1KHLE7594,FB3373,NV,,,Tractor,,,
Praxair - Las Vegas,Henderson,Henderson Trailers,1051,1955,,Tube,,VB2678,NV,,,Trailer,,,
Praxair - Las Vegas,Henderson,Henderson Trailers,20830,2008,CVA,Bulk,16VGX322782823006,371980,NV,,,Trailer,,,
Praxair - Las Vegas,Henderson,Henderson Trailers,2201,2003,Utility,,1DTF71TEOH9006875,371869,NV,,,Trailer,,,
Praxair - Las Vegas,Henderson,Henderson Trailers,26201,,,,,,NV,,,Trailer,,,
Praxair - Las Vegas,Henderson,Henderson Trailers,89SLC,1957,,,U7563,,NV,,,Trailer,,,
Praxair - Las Vegas,Henderson,Henderson Trailers,911-58,1984,LOAD,Tube,1LDE40203EB483454,B492267,NV,,,Trailer,,,
Praxair - Las Vegas,Henderson,Henderson Trailers,J-12,,,Tube,1DNC412S5EM016005,B477642,NV,,,Trailer,,,
