NTC
Client,Branch,Fleet,Vehicle Unit Number,Year,Make,Model,Vin#,License Plate #,License State,Purchase Price,In Service Date,Vehicle Type,Engine Manufacturer,Engine Serial #,Tire Size
Praxair - Cottonwood Heights,Cottonwood Heights,Cottonwood Power Units,315478,2018,Freightliner,Cascadia,3AKJHHDR2JSJR0305,,,,,Tractor,,,
Praxair - Cottonwood Heights,Cottonwood Heights,Cottonwood Power Units,51523,2015,Freightliner,M2,1FVHCYCY5FGHJ0200,,,,,Tractor,,,
Praxair - Cottonwood Heights,Cottonwood Heights,Cottonwood Power Units,51524,2015,Freightliner,M2,1FVHCYCY7FHGJ0201,,,,,Tractor,,,
Praxair - Cottonwood Heights,Cottonwood Heights,Cottonwood Power Units,51860,2018,Freightliner,M2,1FVHCYFE7JHJS9601,,,,,Tractor,,,
Praxair - Cottonwood Heights,Cottonwood Heights,Cottonwood Power Units,51866,2018,Freightliner,M2,1FVHCYFE6JHJS9606,FA4325,UT,,,Tractor,,,
Praxair - Cottonwood Heights,Cottonwood Heights,Cottonwood Power Units,61611,2015,Freightliner,M2,1FUBCXCY2GHHB1941,,,,,Tractor,,,
Praxair - Cottonwood Heights,Cottonwood Heights,Cottonwood Power Units,71324,2013,Volvo,VNL,4V4NC9EH3DN147457,,,,,Tractor,,,
Praxair - Cottonwood Heights,Cottonwood Heights,Cottonwood Power Units,71502,2015,Freightliner,Cascadia,1FUJGBDV8FLGG9908,,,,,Tractor,,,
Praxair - Cottonwood Heights,Cottonwood Heights,Cottonwood Power Units,71503,2015,Freightliner,Cascadia,,,,,,Tractor,,,
Praxair - Cottonwood Heights,Cottonwood Heights,Cottonwood Power Units,71801,2018,Freightliner,Cascadia,1FUJGBDV8JLHH6580,,,,,Tractor,,,
Praxair - Cottonwood Heights,Cottonwood Heights,Cottonwood Power Units,71805,2018,Freightliner,Cascadia,1FUJGBDV6JLJS8687,,,,,Tractor,,,
Praxair - Cottonwood Heights,Cottonwood Heights,Cottonwood Power Units,71923,2019,Freightliner,Cascadia,1FUJGBDV7KLKJ8545,FA1947,UT,,,Tractor,,,
Praxair - Cottonwood Heights,Cottonwood Heights,Cottonwood Power Units,72204,2022,Freightliner,Cascadia,1FUJHTDV7NLNC5524,,,,,Tractor,,,
Praxair - Cottonwood Heights,Cottonwood Heights,Cottonwood Power Units,72205,2022,Freightliner,Cascadia,1FUJHTDV5NLNC5523,,,,,Tractor,,,
Praxair - Cottonwood Heights,Cottonwood Heights,Cottonwood Power Units,72225,2022,Freightliner,Cascadia,1FUJHTDV4NLNC5531,,,,,Tractor,,,
Praxair - Cottonwood Heights,Cottonwood Heights,Cottonwood Power Units,92011,2019,Freightliner,,1FVHCYD29LHLS7060,,,,,Tractor,,,
Praxair - Cottonwood Heights,Cottonwood Heights,Cottonwood Light Duty Units,0001E,2019,Chevrolet,Silverado 2500,2GC2KREGXK1199868,,,,,Light Duty,,,
Praxair - Cottonwood Heights,Cottonwood Heights,Cottonwood Trailers,1110,2000,Chart,MC388,1PTF73TL619005102,,,,,Trailer,,,
Praxair - Cottonwood Heights,Cottonwood Heights,Cottonwood Trailers,1111,2001,Trailmobile,Stepdeck Mini Bulk,1PTF73TM219003923,,,,,Trailer,,,
Praxair - Cottonwood Heights,Cottonwood Heights,Cottonwood Trailers,1135,,,48’ Hydrogen Tube,137332,,,,,Trailer,,,
Praxair - Cottonwood Heights,Cottonwood Heights,Cottonwood Trailers,20,1975,Trailmobile,Tube,,,,,,Trailer,,,
Praxair - Cottonwood Heights,Cottonwood Heights,Cottonwood Trailers,20610,2006,Utility,Pallet,,,,,,Trailer,,,
Praxair - Cottonwood Heights,Cottonwood Heights,Cottonwood Trailers,20708,2007,Utility,Pallet,1UYFS24207A134301,,,,,Trailer,,,
Praxair - Cottonwood Heights,Cottonwood Heights,Cottonwood Trailers,20709,2007,Utility,Pallet,,,,,,Trailer,,,
Praxair - Cottonwood Heights,Cottonwood Heights,Cottonwood Trailers,20713,2007,Utility,Pallet,,,,,,Trailer,,,
Praxair - Cottonwood Heights,Cottonwood Heights,Cottonwood Trailers,20811,2008,Utility,Pallet,,,,,,Trailer,,,
Praxair - Cottonwood Heights,Cottonwood Heights,Cottonwood Trailers,21361,2015,Utility,,,,,,,Trailer,,,
Praxair - Cottonwood Heights,Cottonwood Heights,Cottonwood Trailers,22,1958,Douglas,Tube,,,,,,Trailer,,,
Praxair - Cottonwood Heights,Cottonwood Heights,Cottonwood Trailers,22033,,,Argon,5FTST3129K1005489,,,,,Trailer,,,
Praxair - Cottonwood Heights,Cottonwood Heights,Cottonwood Trailers,22034,2020,,Oxygen,1A9A44326KH939563,FB6709,,,,Trailer,,,
Praxair - Cottonwood Heights,Cottonwood Heights,Cottonwood Trailers,22058,1967,Parker,Tube,32567,,,,,Trailer,,,
Praxair - Cottonwood Heights,Cottonwood Heights,Cottonwood Trailers,22059,1959,Douglas,Tube,UTT13419,,,,,Trailer,,,
Praxair - Cottonwood Heights,Cottonwood Heights,Cottonwood Trailers,2211,1994,WANC,Dry Van,1JJV281E0RL212148,,,,,Trailer,,,
Praxair - Cottonwood Heights,Cottonwood Heights,Cottonwood Trailers,24 SLC,1967,Parker,Tube,32667,,,,,Trailer,,,
Praxair - Cottonwood Heights,Cottonwood Heights,Cottonwood Trailers,29014,1990,,,S2RWCBPLXL4311271,,,,,Trailer,,,
Praxair - Cottonwood Heights,Cottonwood Heights,Cottonwood Trailers,63,1975,Bert,Tube,,,,,,Trailer,,,
